Title,Location,Price,Area,Rooms,Interior
Apartment Eerste Atjehstraat,            1094 KS Amsterdam (Indische Buurt West)        ,"                €1,795 per month            ",60 m²,3 rooms,Furnished
Apartment Looiersgracht,            1016 VT Amsterdam (Jordaan)        ,"                €2,100 per month            ",63 m²,2 rooms,Furnished
Apartment Gaasterlandstraat,            1079 RH Amsterdam (Scheldebuurt)        ,"                €3,250 per month            ",118 m²,3 rooms,Furnished
Apartment Parnassusweg,            1076 AS Amsterdam (Stadionbuurt)        ,"                €2,250 per month            ",100 m²,4 rooms,Upholstered
Apartment Marnixkade 40 2,            1015 XS Amsterdam (Jordaan)        ,"                €1,950 per month            ",57 m²,3 rooms,Upholstered
Apartment Haparandaweg,            1013 BD Amsterdam (Houthavens)        ,"                €2,550 per month            ",104 m²,4 rooms,Upholstered
Apartment Langswater,            1069 EC Amsterdam (De Punt)        ,"                €1,650 per month            ",62 m²,3 rooms,Furnished
Apartment Van Ostadestraat,            1072 TH Amsterdam (Nieuwe Pijp)        ,"                €2,650 per month            ",59 m²,3 rooms,Upholstered
Apartment Van Speijkstraat 56 hs,            1057 HD Amsterdam (Chassébuurt)        ,"                €1,750 per month            ",70 m²,2 rooms,Furnished
Apartment Schelluinenstraat,            1107 JG Amsterdam (Holendrecht/Reigersbos)        ,"                €1,550 per month            ",57 m²,2 rooms,Furnished
Apartment Rustenburgerstraat 59 H,            1074 ER Amsterdam (Nieuwe Pijp)        ,"                €2,750 per month            ",105 m²,5 rooms,Upholstered
Apartment Oeverpad,            1068 PH Amsterdam (Osdorp-Oost)        ,"                €2,000 per month            ",140 m²,3 rooms,Furnished
Apartment Herengracht,            1015 BT Amsterdam (Grachtengordel-West)        ,"                €2,675 per month            ",110 m²,3 rooms,Furnished
Apartment Koninginneweg 225 HS,            1075 CS Amsterdam (Willemspark)        ,"                €8,500 per month            ",225 m²,7 rooms,Upholstered
Apartment Herengracht,            1015 BH Amsterdam (Grachtengordel-West)        ,"                €2,350 per month            ",75 m²,2 rooms,Furnished
Apartment Rooseveltlaan 8 2,            1078 NH Amsterdam (Scheldebuurt)        ,"                €3,250 per month            ",145 m²,4 rooms,Furnished
Apartment Vrijheidslaan,            1079 KH Amsterdam (Rijnbuurt)        ,"                €2,350 per month            ",85 m²,4 rooms,Upholstered
Apartment Sassenheimstraat 20 Hs,            1059 BH Amsterdam (Hoofddorppleinbuurt)        ,"                €2,600 per month            ",81 m²,3 rooms,Upholstered or furnished
Apartment De Lairessestraat,            1071 PL Amsterdam (Museumkwartier)        ,"                €2,350 per month            ",86 m²,2 rooms,Furnished
Apartment Valkenburgerstraat 190 PP,            1011 NC Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,950 per month            ",94 m²,3 rooms,Furnished
Apartment Noordzijde,            1064 ME Amsterdam (Slotermeer-Zuidwest)        ,"                €1,950 per month            ",65 m²,2 rooms,Furnished
Apartment Harry Koningsbergerstraat,            1063 AH Amsterdam (Slotermeer-Noordoost)        ,"                €1,500 per month            ",45 m²,2 rooms,Furnished
Apartment Oudezijds Kolk,            1012 AL Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,950 per month            ",140 m²,2 rooms,Furnished
Apartment Michelangelostraat 19 hs,            1077 BP Amsterdam (Apollobuurt)        ,"                €4,850 per month            ",150 m²,4 rooms,None
Apartment Sarphatistraat 209 2,            1018 GJ Amsterdam (Weesperbuurt/Plantage)        ,"                €1,845 per month            ",65 m²,3 rooms,Upholstered
Apartment Postjesweg 246,            1061 AX Amsterdam (Overtoomse Veld)        ,"                €2,700 per month            ",140 m²,4 rooms,Furnished
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Van Heenvlietlaan 414 2,            1083 CS Amsterdam (Buitenveldert-Oost)        ,"                €2,400 per month            ",106 m²,3 rooms,Furnished
Apartment Van Ostadestraat 202 ll,            1073 TS Amsterdam (Nieuwe Pijp)        ,"                €1,950 per month            ",61 m²,3 rooms,Upholstered
Apartment Valckenierstraat 1 HS,            1018 XB Amsterdam (Weesperbuurt/Plantage)        ,"                €1,900 per month            ",80 m²,3 rooms,Furnished
Apartment Churchill-laan,            1078 EA Amsterdam (Scheldebuurt)        ,"                €2,100 per month            ",85 m²,3 rooms,Upholstered
Apartment D.L. Hudigstraat,            1019 JV Amsterdam (Oostelijk Havengebied)        ,"                €2,750 per month            ",137 m²,4 rooms,Upholstered
Apartment Ruiseveenpad 94,            1106 AN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,400 per month            ",55 m²,2 rooms,Furnished
Studio Heiligeweg,            1012 XP Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,550 per month            ",40 m²,1 room,Shell
Apartment Spuistraat 3 N,            1012 SP Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,100 per month            ",45 m²,2 rooms,Upholstered or furnished
Apartment Februariplein 4,            1011 MT Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,750 per month            ",95 m²,3 rooms,Furnished
Apartment Moreelsestraat 37 huis,            1071 BJ Amsterdam (Museumkwartier)        ,"                €6,500 per month            ",240 m²,7 rooms,Upholstered
House Zocherstraat 23 P,            1054 LR Amsterdam (Overtoomse Sluis)        ,"                €5,250 per month            ",146 m²,5 rooms,Furnished
Apartment Pieter Lastmankade 30 C,            1075 KK Amsterdam (Willemspark)        ,"                €7,500 per month            ",207 m²,3 rooms,Upholstered
Apartment Vossiusstraat 49 1,            1071 AK Amsterdam (Museumkwartier)        ,"                €2,550 per month            ",89 m²,2 rooms,Upholstered
Apartment Céramiquelaan,            1031 KG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,950 per month            ",70 m²,2 rooms,Upholstered
Apartment Brouwersgracht,            1013 GW Amsterdam (Haarlemmerbuurt)        ,"                €2,100 per month            ",60 m²,3 rooms,Upholstered
Apartment Granidastraat,            1055 HR Amsterdam (Landlust)        ,"                €2,000 per month            ",100 m²,3 rooms,Furnished
Apartment Johannes Verhulststraat,            1071 NE Amsterdam (Museumkwartier)        ,"                €1,850 per month            ",75 m²,2 rooms,Furnished
Apartment Osdorper Ban,            1069 GA Amsterdam (Osdorp-Midden)        ,"                €2,350 per month            ",120 m²,4 rooms,Upholstered
Apartment Mr. P.N. Arntzeniusweg,            1098 GP Amsterdam (Middenmeer)        ,"                €2,500 per month            ",105 m²,5 rooms,Furnished
Apartment Koggestraat 11 2,            1012 TA Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,100 per month            ",75 m²,3 rooms,Furnished
Apartment Hugo de Grootkade 86 3,            1052 LX Amsterdam (Frederik Hendrikbuurt)        ,"                €1,650 per month            ",50 m²,2 rooms,Furnished
Studio Wamelstraat 92,            1106 DM Amsterdam (Gein)        ,"                €1,450 per month            ",60 m²,2 rooms,Upholstered
Apartment Prinsengracht,            1015 DT Amsterdam (Grachtengordel-West)        ,"                €3,500 per month            ",100 m²,3 rooms,Furnished
Apartment Jacob van Lennepkade,            1054 ZS Amsterdam (Overtoomse Sluis)        ,"                €2,100 per month            ",85 m²,3 rooms,Upholstered or furnished
Apartment Geldersekade,            1011 EL Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,800 per month            ",85 m²,3 rooms,Furnished
Apartment Prins Hendrikkade,            1011 TB Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,795 per month            ",101 m²,3 rooms,Furnished
Apartment Borssenburgplein,            1078 TZ Amsterdam (IJselbuurt)        ,"                €2,035 per month            ",73 m²,3 rooms,None
Apartment Andreas Schelfhoutstraat 45 hs,            1058 HS Amsterdam (Hoofddorppleinbuurt)        ,"                €2,100 per month            ",95 m²,3 rooms,Furnished
Apartment Hof van Groenen 38,            1083 JR Amsterdam (Buitenveldert-Oost)        ,"                €1,850 per month            ",85 m²,3 rooms,Furnished
Apartment Voltaplein 33 hs,            1098 NN Amsterdam (Middenmeer)        ,"                €2,250 per month            ",110 m²,4 rooms,Upholstered or furnished
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Backershagen 3,            1082 GR Amsterdam (Buitenveldert-West)        ,"                €2,500 per month            ",115 m²,4 rooms,Furnished
Apartment Gerard Doustraat,            1073 VW Amsterdam (Oude Pijp)        ,"                €2,800 per month            ",69 m²,3 rooms,Upholstered or furnished
Apartment Maassluisstraat,            1062 GS Amsterdam (Westlandgracht)        ,"                €1,500 per month            ",40 m²,1 room,Upholstered
Apartment Valkenburgerstraat 136 G,            1011 NA Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,750 per month            ",95 m²,3 rooms,Upholstered or furnished
Apartment Bredeweg 2 B,            1098 BP Amsterdam (Middenmeer)        ,"                €3,500 per month            ",125 m²,4 rooms,Upholstered
Apartment Prinsengracht 1029 D,            1017 KP Amsterdam (Grachtengordel-Zuid)        ,"                €3,750 per month            ",124 m²,4 rooms,Furnished
House Jan Willem Brouwersstraat 22,            1071 LK Amsterdam (Museumkwartier)        ,"                €8,000 per month            ",268 m²,12 rooms,Upholstered or furnished
House Ringvaartdijk 40,            1066 DE Amsterdam (Sloter-/Riekerpolder)        ,"                €4,000 per month            ",220 m²,5 rooms,Furnished
Apartment Nachtwachtlaan,            1058 EH Amsterdam (Overtoomse Veld)        ,"                €1,650 per month            ",59 m²,2 rooms,Furnished
Apartment Voorsteven,            1034 SM Amsterdam (Banne Buiksloot)        ,"                €1,600 per month            ",90 m²,4 rooms,Upholstered
House Bokkinghangen,            1013 NK Amsterdam (Spaarndammer- en Zeeheldenbuurt)        ,"                €2,250 per month            ",90 m²,3 rooms,Furnished
Apartment Sausalitolaan,            1031 KE Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,450 per month            ",91 m²,3 rooms,Upholstered
Apartment Bovenover,            1025 JJ Amsterdam (Buikslotermeer)        ,"                €2,100 per month            ",95 m²,4 rooms,Furnished
Apartment Van Nijenrodeweg 804 *,            1082 JK Amsterdam (Buitenveldert-West)        ,"                €1,295 per month            ",30 m²,2 rooms,None
Apartment Jacob van Lennepkade,            1054 ZP Amsterdam (Overtoomse Sluis)        ,"                €1,625 per month            ",44 m²,2 rooms,Upholstered
Apartment Tweede Jan van der Heijdenstraat,            1074 XR Amsterdam (Oude Pijp)        ,"                €3,000 per month            ",116 m²,4 rooms,Upholstered
Apartment Orteliusstraat 44 II,            1057 BC Amsterdam (Hoofdweg e.o.)        ,"                €2,700 per month            ",102 m²,4 rooms,Furnished
Apartment Mary van der Sluisstraat 332,            1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,500 per month            ",110 m²,3 rooms,None
Apartment Olympiaplein 55 2,            1077 CN Amsterdam (Apollobuurt)        ,"                €3,750 per month            ",200 m²,5 rooms,Upholstered
Apartment Papaverweg,            1032 KH Amsterdam (Volewijck)        ,"                €1,275 per month            ",47 m²,2 rooms,Upholstered
Apartment Westerdoksdijk,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,000 per month            ",84 m²,3 rooms,Upholstered or furnished
Apartment Admiralengracht 181 hs,            1057 ET Amsterdam (Hoofdweg e.o.)        ,"                €2,200 per month            ",53 m²,3 rooms,Upholstered
Apartment Johannes Verhulststraat 14 2,            1071 NC Amsterdam (Museumkwartier)        ,"                €2,250 per month            ",75 m²,2 rooms,Furnished
Apartment Valeriusterras 2,            1075 BK Amsterdam (Willemspark)        ,"                €2,450 per month            ",75 m²,3 rooms,Furnished
Apartment Valeriusstraat,            1075 GC Amsterdam (Willemspark)        ,"                €5,500 per month            ",210 m²,5 rooms,Upholstered
Apartment Van Baerlestraat,            1071 BE Amsterdam (Museumkwartier)        ,"                €4,750 per month            ",200 m²,6 rooms,Upholstered
House Buiksloterdijk 433,            1034 ZA Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,950 per month            ",108 m²,4 rooms,Furnished
Apartment Eerste Boomdwarsstraat,            1015 NC Amsterdam (Jordaan)        ,"                €2,450 per month            ",110 m²,2 rooms,Furnished
House Pracanalaan,            1060 RC Amsterdam (Middelveldsche Akerpolder)        ,"                €2,995 per month            ",106 m²,5 rooms,Furnished
Apartment Burgemeester Hogguerstraat 597,            1064 CW Amsterdam (Slotermeer-Zuidwest)        ,"                €1,650 per month            ",75 m²,2 rooms,Furnished
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment Groenburgwal,            1011 HW Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,750 per month            ",80 m²,3 rooms,Furnished
Apartment Sarphatistraat 139 D,            1018 GD Amsterdam (Weesperbuurt/Plantage)        ,"                €2,350 per month            ",100 m²,3 rooms,Upholstered or furnished
Studio Ferdinand Bolstraat,            1072 LM Amsterdam (Oude Pijp)        ,"                €1,675 per month            ",35 m²,2 rooms,Furnished
Apartment Marie Heinekenplein 703,            1072 MN Amsterdam (Oude Pijp)        ,"                €2,500 per month            ",105 m²,3 rooms,Furnished
Apartment Kerkstraat,            1017 HZ Amsterdam (Grachtengordel-Zuid)        ,"                €2,700 per month            ",104 m²,4 rooms,None
Apartment Bestevâerstraat 24 3,            1056 HN Amsterdam (Geuzenbuurt)        ,"                €2,350 per month            ",95 m²,3 rooms,Furnished
House Cannenburg,            1081 HA Amsterdam (Buitenveldert-West)        ,"                €4,500 per month            ",200 m²,6 rooms,None
Apartment Newtonstraat,            1098 HE Amsterdam (Middenmeer)        ,"                €2,100 per month            ",100 m²,4 rooms,Upholstered
Apartment Marie Heinekenplein 410,            1072 ML Amsterdam (Oude Pijp)        ,"                €2,450 per month            ",137 m²,4 rooms,Furnished
Apartment Boeroestraat,            1095 VS Amsterdam (Indische Buurt Oost)        ,"                €1,400 per month            ",40 m²,2 rooms,Upholstered
Apartment Weteringschans,            1017 XR Amsterdam (De Weteringschans)        ,"                €2,150 per month            ",75 m²,2 rooms,Furnished
House Prins Hendrikkade,            1011 TE Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,750 per month            ",30 m²,2 rooms,Upholstered or furnished
Apartment Westerdok 174,            1013 BH Amsterdam (Haarlemmerbuurt)        ,"                €2,250 per month            ",146 m²,3 rooms,None
Apartment Van Ostadestraat 2 3,            1072 SX Amsterdam (Nieuwe Pijp)        ,"                €1,800 per month            ",63 m²,3 rooms,None
Apartment Spuistraat,            1012 VN Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,550 per month            ",80 m²,3 rooms,Furnished
Apartment Haarlemmerdijk,            1013 JH Amsterdam (Haarlemmerbuurt)        ,"                €2,450 per month            ",87 m²,1 room,Upholstered
Apartment Kuinderstraat 39 hs,            1079 DJ Amsterdam (Rijnbuurt)        ,"                €1,900 per month            ",60 m²,3 rooms,Upholstered
Apartment Nachtwachtlaan,            1058 ES Amsterdam (Overtoomse Veld)        ,"                €2,950 per month            ",125 m²,4 rooms,Furnished
Apartment Overtoom 503 1,            1054 LH Amsterdam (Overtoomse Sluis)        ,"                €2,000 per month            ",70 m²,2 rooms,Furnished
Apartment Kea Boumanstraat 42 B,            1095 MA Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,850 per month            ",90 m²,3 rooms,Upholstered or furnished
Apartment Anthonie van Dijckstraat 11 hs,            1077 MG Amsterdam (Apollobuurt)        ,"                €5,750 per month            ",140 m²,4 rooms,Upholstered or furnished
Apartment Joh.M. Coenenstraat,            1071 WH Amsterdam (Museumkwartier)        ,"                €3,700 per month            ",95 m²,3 rooms,Furnished
Apartment Buikslotermeerplein,            1025 XE Amsterdam (Buikslotermeer)        ,"                €2,000 per month            ",120 m²,5 rooms,None
Apartment Krimpertplein 10,"            1104 PH Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,600 per month            ",70 m²,3 rooms,None
Apartment Linnaeusstraat,            1093 ED Amsterdam (Dapperbuurt)        ,"                €2,500 per month            ",63 m²,2 rooms,Furnished
Apartment Ten Katestraat,            1053 BX Amsterdam (Kinkerbuurt)        ,"                €1,600 per month            ",46 m²,2 rooms,Upholstered or furnished
Apartment Singel 380,            1016 AH Amsterdam (Grachtengordel-West)        ,"                €3,750 per month            ",150 m²,5 rooms,Upholstered
Apartment Woestduinstraat,            1059 SZ Amsterdam (Hoofddorppleinbuurt)        ,"                €1,850 per month            ",65 m²,3 rooms,Furnished
Apartment Oostelijke Handelskade,            1019 DN Amsterdam (Oostelijk Havengebied)        ,"                €2,500 per month            ",135 m²,3 rooms,Furnished
Apartment Tweede Jacob van Campenstraat,            1073 XZ Amsterdam (Oude Pijp)        ,"                €2,850 per month            ",76 m²,3 rooms,Upholstered or furnished
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Eva Besnyöstraat,            1087 LM Amsterdam (IJburg Zuid)        ,"                €1,975 per month            ",100 m²,3 rooms,Furnished
Apartment Nieuwe Achtergracht,            1018 WK Amsterdam (Weesperbuurt/Plantage)        ,"                €2,800 per month            ",78 m²,4 rooms,Upholstered or furnished
Apartment Maasstraat 79 3,            1078 HE Amsterdam (Scheldebuurt)        ,"                €2,750 per month            ",101 m²,3 rooms,Upholstered
Apartment Celebesstraat,            1094 GA Amsterdam (Indische Buurt West)        ,"                €1,800 per month            ",72 m²,3 rooms,Furnished
House Admiraal De Ruijterweg,            1055 MT Amsterdam (Landlust)        ,"                €2,500 per month            ",137 m²,4 rooms,Furnished
Apartment Van Breestraat 90 II,            1071 ZS Amsterdam (Museumkwartier)        ,"                €4,500 per month            ",122 m²,7 rooms,Upholstered
Apartment Van Nijenrodeweg 410,            1082 HH Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",85 m²,3 rooms,Furnished
Apartment Silodam,            1013 AS Amsterdam (Houthavens)        ,"                €1,500 per month            ",63 m²,3 rooms,None
Apartment Veembroederhof,            1019 HC Amsterdam (Oostelijk Havengebied)        ,"                €2,150 per month            ",73 m²,3 rooms,Furnished
Apartment Pieter Lastmankade 1 C,            1075 KJ Amsterdam (Willemspark)        ,"                €2,950 per month            ",85 m²,3 rooms,Furnished
Apartment Lindengracht,            1015 KE Amsterdam (Jordaan)        ,"                €1,650 per month            ",40 m²,2 rooms,Furnished
Apartment Saenredamstraat,            1072 CG Amsterdam (Oude Pijp)        ,"                €1,800 per month            ",55 m²,2 rooms,Furnished
Apartment Albert Luthulistraat,            1091 NS Amsterdam (Transvaalbuurt)        ,"                €2,250 per month            ",85 m²,4 rooms,Upholstered
Apartment Marcusstraat 13 2,            1091 TH Amsterdam (Weesperzijde)        ,"                €1,900 per month            ",65 m²,3 rooms,Furnished
Apartment Marnixstraat 354 bel,            1016 XV Amsterdam (Jordaan)        ,"                €2,500 per month            ",80 m²,2 rooms,Upholstered or furnished
Apartment Govert Flinckstraat 191 H,            1073 BV Amsterdam (Oude Pijp)        ,"                €2,950 per month            ",122 m²,3 rooms,None
Apartment Cliostraat 12 I,            1077 KG Amsterdam (Apollobuurt)        ,"                €4,950 per month            ",131 m²,5 rooms,None
Apartment Esplanade de Meer,            1098 WN Amsterdam (Middenmeer)        ,"                €2,500 per month            ",96 m²,3 rooms,Furnished
Apartment Geervliet,            1082 NM Amsterdam (Buitenveldert-Oost)        ,"                €1,850 per month            ",75 m²,3 rooms,None
Apartment Wamberg,            1083 CX Amsterdam (Buitenveldert-Oost)        ,"                €2,500 per month            ",130 m²,4 rooms,Furnished
Apartment Oudezijds Achterburgwal,            1012 DX Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,000 per month            ",75 m²,2 rooms,None
Apartment Derde Helmersstraat 19 III,            1054 BA Amsterdam (Helmersbuurt)        ,"                €2,150 per month            ",70 m²,2 rooms,Upholstered or furnished
Apartment Orteliusstraat 314 II,            1056 PP Amsterdam (Erasmuspark)        ,"                €2,500 per month            ",110 m²,4 rooms,Furnished
Apartment Vogelenzangstraat 60 I,            1058 SW Amsterdam (Hoofddorppleinbuurt)        ,"                €1,700 per month            ",55 m²,2 rooms,Furnished
House Nadezjda Mandelstamstraat,"            1102 JH Amsterdam (Bijlmer Centrum (D,F,H))        ","                €2,200 per month            ",150 m²,4 rooms,Furnished
Apartment Raamgracht,            1011 KH Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,700 per month            ",90 m²,2 rooms,Furnished
Apartment Honingen,            1083 JP Amsterdam (Buitenveldert-Oost)        ,"                €2,250 per month            ",100 m²,4 rooms,Furnished
Apartment Govert Flinckstraat 191 1,            1073 BV Amsterdam (Oude Pijp)        ,"                €2,650 per month            ",83 m²,4 rooms,None
Apartment Govert Flinckstraat 191 2,            1073 BV Amsterdam (Oude Pijp)        ,"                €2,650 per month            ",82 m²,3 rooms,None
Apartment Van Nijenrodeweg 410,            1082 HH Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",85 m²,3 rooms,Furnished
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment Prinsengracht 453 A,            1016 HN Amsterdam (Grachtengordel-West)        ,"                €2,250 per month            ",65 m²,2 rooms,Furnished
Apartment Azaleastraat,            1032 BT Amsterdam (Volewijck)        ,"                €3,350 per month            ",120 m²,6 rooms,Shell
Apartment Kerkstraat,            1017 GW Amsterdam (Grachtengordel-Zuid)        ,"                €3,750 per month            ",135 m²,4 rooms,Furnished
Apartment Edward Masseystraat,            1086 ZL Amsterdam (IJburg West)        ,"                €1,575 per month            ",62 m²,2 rooms,Furnished
Apartment Wagenaarstraat 318 4,            1093 CX Amsterdam (Dapperbuurt)        ,"                €2,300 per month            ",108 m²,4 rooms,Furnished
Apartment Kanteel 12,            1083 DA Amsterdam (Buitenveldert-Oost)        ,"                €2,500 per month            ",131 m²,4 rooms,Upholstered
Apartment Julius Pergerstraat,            1087 KP Amsterdam (IJburg Zuid)        ,"                €1,700 per month            ",80 m²,3 rooms,Upholstered
Apartment Van der Palmkade,            1051 RE Amsterdam (Staatsliedenbuurt)        ,"                €2,150 per month            ",70 m²,3 rooms,Furnished
Apartment Jacques Veltmanstraat 209,            1065 DB Amsterdam (Slotervaart Zuid)        ,"                €2,150 per month            ",80 m²,3 rooms,Furnished
Apartment Distelweg,            1031 HD Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,650 per month            ",87 m²,3 rooms,Furnished
Apartment Admiraal De Ruijterweg,            1056 GT Amsterdam (Geuzenbuurt)        ,"                €2,895 per month            ",170 m²,4 rooms,Furnished
Apartment Apollolaan,            1077 AE Amsterdam (Apollobuurt)        ,"                €2,650 per month            ",125 m²,3 rooms,None
Apartment Cornelis van Rijplantsoen 75,            1063 MD Amsterdam (Slotermeer-Noordoost)        ,"                €1,899 per month            ",105 m²,5 rooms,Upholstered
Apartment Willem Dreesplantsoen,            1067 VG Amsterdam (Eendracht)        ,"                €1,750 per month            ",69 m²,3 rooms,None
Apartment Vondelstraat 178 3,            1054 GW Amsterdam (Vondelbuurt)        ,"                €3,950 per month            ",180 m²,6 rooms,Upholstered
Apartment Emmy Andriessestraat 488,            1087 NE Amsterdam (IJburg Zuid)        ,"                €2,237 per month            ",133 m²,3 rooms,Shell
House Piet Zwarthof 63,            1087 AX Amsterdam (IJburg West)        ,"                €2,500 per month            ",120 m²,3 rooms,Furnished
Apartment Nieuwezijds Voorburgwal 329 B,            1012 RM Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,999 per month            ",76 m²,3 rooms,Furnished
Apartment NDSM-kade,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,694 per month            ",89 m²,2 rooms,Upholstered
Apartment NDSM-kade,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,568 per month            ",64 m²,2 rooms,Upholstered
Apartment NDSM-kade,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,265 per month            ",63 m²,2 rooms,Upholstered
Apartment NDSM-kade,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,487 per month            ",71 m²,2 rooms,Upholstered
Apartment VOC-kade 78,            1018 LG Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,750 per month            ",88 m²,4 rooms,Furnished
Apartment Van Oldenbarneveldtstraat 47 3,            1052 JT Amsterdam (Frederik Hendrikbuurt)        ,"                €2,300 per month            ",58 m²,3 rooms,Furnished
House Jachthavenweg,            1076 CZ Amsterdam (Stadionbuurt)        ,"                €2,350 per month            ",80 m²,3 rooms,Upholstered or furnished
Apartment De Klencke 105 B,            1083 HH Amsterdam (Buitenveldert-Oost)        ,"                €1,695 per month            ",50 m²,2 rooms,Furnished
Apartment Baden Powellweg 44 A,            1069 LK Amsterdam (Osdorp-Midden)        ,"                €2,150 per month            ",104 m²,3 rooms,Furnished
Apartment Boeninlaan,"            1102 TP Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,900 per month            ",80 m²,4 rooms,Furnished
House Professor J.H. Gunningstraat 40,            1068 MS Amsterdam (Osdorp-Oost)        ,"                €2,350 per month            ",133 m²,4 rooms,Furnished
Apartment Memeleiland,            1014 ZL Amsterdam (Houthavens)        ,"                €1,950 per month            ",87 m²,3 rooms,Upholstered
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Admiralengracht,            1057 GE Amsterdam (Chassébuurt)        ,"                €2,500 per month            ",86 m²,4 rooms,Furnished
Room Midscheeps,            1034 TD Amsterdam (Banne Buiksloot)        ,                €690 per month            ,50 m²,2 rooms,Furnished
Apartment John Blankensteinstraat 73 1,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,499 per month            ",63 m²,3 rooms,Upholstered or furnished
Apartment Singel 518,            1017 AX Amsterdam (Grachtengordel-Zuid)        ,"                €3,000 per month            ",105 m²,3 rooms,Furnished
Apartment H. Gerhardstraat,            1069 TD Amsterdam (Osdorp-Midden)        ,"                €2,500 per month            ",117 m²,4 rooms,Furnished
Apartment Rijswijkstraat,            1062 ER Amsterdam (Westlandgracht)        ,"                €1,600 per month            ",85 m²,3 rooms,Upholstered
Apartment Herengracht 579 1,            1017 CD Amsterdam (Grachtengordel-Zuid)        ,"                €5,650 per month            ",125 m²,3 rooms,Furnished
Apartment Joan Melchior Kemperstraat,            1051 TM Amsterdam (Staatsliedenbuurt)        ,"                €1,725 per month            ",58 m²,2 rooms,Furnished
Apartment Raamstraat 33 L,            1016 XL Amsterdam (Jordaan)        ,"                €3,250 per month            ",62 m²,3 rooms,None
House Vondelstraat 48,            1054 GE Amsterdam (Vondelbuurt)        ,"                €9,250 per month            ",388 m²,7 rooms,Upholstered or furnished
